Census Tract,Loan Amount
21111009000,125000
21111011904,175000
21111011110,205000
21111011302,125000
21111007603,195000
21111011106,165000
21111011109,245000
21111012407,185000
21111011517,155000
21111012410,75000
21111010706,305000
21111011508,165000
21111006500,155000
21111010307,315000
21111012001,115000
21111011003,85000
21111011301,45000
21111011005,55000
21111010307,275000
21111011709,465000
21111009400,105000
21111011713,145000
21111012603,75000
21111004600,135000
21111012604,105000
21111010601,75000
21111007900,165000
21111011516,125000
21111009700,255000
21111011506,205000
21111011707,105000
21111011302,95000
21111004000,125000
21111009600,85000
21111011707,205000
21111011513,125000
21111011515,165000
21111010319,235000
21111012502,185000
21111010311,185000
21111012502,105000
21111011907,165000
21111011601,315000
21111012411,145000
21111012604,95000
21111010317,445000
21111012703,105000
21111010316,425000
21111011004,195000
21111011603,225000
21111012603,85000
21111011708,175000
21111010008,155000
21111011711,135000
21111004600,205000
21111011505,215000
21111011707,115000
21111011518,335000
21111010701,505000
21111012202,155000
21111007400,245000
21111011520,355000
21111009106,135000
21111011907,215000
21111012203,255000
21111008800,195000
21111012503,145000
21111009800,265000
21111011302,145000
21111011004,175000
21111004400,65000
21111011114,205000
21111011519,135000
21111012604,155000
21111008700,315000
21111011711,145000
21111009400,145000
21111012601,175000
21111012801,125000
21111011505,185000
21111011505,215000
21111012105,165000
21111012703,135000
21111012408,145000
21111012406,155000
21111012002,125000
21111004500,125000
21111010008,215000
21111011708,275000
21111004301,85000
21111011519,315000
21111011708,315000
21111009600,345000
21111009900,235000
21111004000,115000
21111001100,145000
21111011302,105000
21111006500,175000
21111012502,145000
21111012501,205000
21111011514,135000
21111011004,155000
21111012601,75000
21111011604,265000
21111012502,95000
21111012411,175000
21111011508,195000
21111010319,85000
21111010602,265000
21111012407,185000
21111011505,295000
21111003900,75000
21111012408,135000
21111011505,205000
21111011505,255000
21111011113,255000
21111012105,165000
21111011200,205000
21111011518,335000
21111012002,105000
21111011508,115000
21111003900,45000
21111012406,125000
21111011513,205000
21111010314,255000
21111012106,145000
21111011517,225000
21111010901,165000
21111012407,85000
21111012601,55000
21111010402,235000
21111011506,175000
21111012411,155000
21111011706,135000
21111012502,175000
21111010307,575000
21111011706,145000
21111010307,225000
21111000800,145000
21111012411,125000
21111008400,215000
21111012703,125000
21111011603,275000
21111012204,105000
21111011505,205000
21111011509,115000
21111011514,165000
21111011114,215000
21111012104,85000
21111010406,205000
21111010307,245000
21111012002,115000
21111012703,165000
21111012801,115000
21111010403,245000
21111012502,135000
21111012107,155000
21111012105,135000
21111009700,345000
21111003700,135000
21111011003,235000
21111010702,295000
21111012407,125000
21111011706,135000
21111009400,175000
21111010402,225000
21111011709,295000
21111011520,495000
21111011708,305000
21111007502,175000
21111011514,145000
21111011110,125000
21111011905,115000
21111012203,225000
21111011004,55000
21111012302,245000
21111011706,85000
21111010405,115000
21111010320,245000
21111011110,315000
21111011004,95000
21111011003,165000
21111010402,215000
21111011102,165000
21111011106,95000
21111010316,335000
21111010005,45000
21111010319,245000
21111010313,425000
21111006800,125000
21111012203,185000
